,spectralKurtosis,spectralRolloffPoint,spectralSkewness,spectralSlope,spectralSpread,harmonicRatio,pitch,zerocrossrate,shortTimeEnergy
978,72.6131048434319,3108.64197530864,5.17654211677776,-2.90894392813277e-08,1135.63729527741,214.786859104408,0.385991157254885,0.178891782407407,2.12164489866482
510,107.483012842328,2359.43396226415,5.79354890044135,-4.0938072211315e-08,861.932761783311,143.983176939075,0.494007049800049,0.155807783018868,2.24657195703665
4980,15.4560195079579,5005.08701472557,1.53762857097949,-2.0747478792872803e-09,1660.16057537029,248.364592769636,0.419037253420396,0.269440261044177,1.24777998646085
768,104.30521405552496,1909.79532163743,5.428528780746401,-6.72728317666028e-08,1172.9757562456286,143.73278998308,0.4802137891839,0.09609375,3.48662890932656
2717,140.44845070552,2522.66666666667,6.53981390271326,-1.13049458790032e-07,918.549206288902,204.684339784861,0.574189891575257,0.166125,6.36457472703532
3478,182.103296877058,2825.23540489642,8.07808670628357,-3.6606908608521e-09,958.524226568868,205.963023337706,0.373581240861644,0.140398422787194,0.172993512211699
1426,148.23785223816,3400.57471264368,5.88637238832584,-8.374280994600491e-10,1257.48326425875,170.929516117972,0.376951929384168,0.17918911637931,0.0428262045485576
190,99.176138416401,2233.98692810458,6.22563752116605,-4.11412598415907e-08,808.699447017626,138.257020226478,0.444089949231956,0.147109885620915,2.17888353681789
3109,11.9058345934851,5512.15538847118,1.87155290412447,-2.3363591955313e-08,1904.62838649281,139.929373827957,0.292651380287356,0.330227913533835,1.30770892391218
1788,30.2980775971091,3242.888165038,3.44095326554702,-1.93767401078113e-08,1127.38861953455,256.240147074437,0.420717308963406,0.181015879478827,2.32630008069619
536,88.1108712923125,2174.28087986464,5.89972916755015,-7.83677034024392e-08,854.829062939609,183.402105088618,0.499602853450382,0.146980752961083,4.62033354143624
887,132.012828711855,2597.35159817352,6.57838509180729,-5.8327889398140414e-09,989.145616292409,234.498127744559,0.411722474470949,0.168553082191781,0.335326976792763
1575,68.5205385920718,2808.13771517997,5.37225706314831,-1.73284478746197e-07,1084.38123973897,181.452756499905,0.521958408016831,0.15860230829421,9.50397974445268
4949,39.5878452215346,3750.20080321285,4.03853822534889,-4.53745470705731e-08,1394.74529672119,240.767016137142,0.403214243559966,0.214001840696118,2.55937142116391
4150,75.39379093116,4308.08356039964,4.72757819143777,-4.24095827417048e-08,1442.271639908,199.844515081713,0.418224066695651,0.248753973660309,2.34408988103887
5071,9.85282744896443,6142.0704845815,0.841523675186286,3.88603215651978e-10,1988.3285414919,227.958423840908,0.364193446643769,0.341141244493392,0.805028530187706
1951,49.7051640641515,2927.80203784571,4.81619280379224,-6.1061249434546e-08,997.786550223468,207.912481248257,0.470627769447389,0.131172671033479,3.18109789812714
678,75.3727134394386,2768.62222222222,5.44557301560571,-5.68578320999507e-08,995.651633880676,132.012163867152,0.36073255851551,0.155516666666667,2.89736056050887
387,51.8378833922492,3296.91577698695,3.88543478964002,-8.15289379007015e-08,1118.09007169502,182.852365418485,0.406517625250579,0.184797597864769,4.55039102945468
5806,22.0195231430089,4955.11111111111,2.15086491296944,-2.09178401821437e-08,1613.28734291026,200.608377851372,0.379698083076918,0.321125,1.59797223138237
